#! FIELDS time phi psi metad.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 7.020000 -2.556524 -3.100038 4.103809
 7.040000 -2.396497 -3.079087 4.865425
 7.060000 -2.542293 3.008862 4.176594
 7.080000 -2.640835 2.930384 3.660813
 7.100000 -2.679421 2.961163 3.454110
 7.120000 -2.890312 2.767230 2.351195
 7.140000 -2.801231 2.656952 2.805027
 7.160000 -2.674278 2.572872 3.481716
 7.180000 -2.762666 2.497431 3.008428
 7.200000 -2.661152 2.493802 3.552124
 7.220000 -2.689780 2.266299 3.398477
 7.240000 -2.705078 2.376311 3.316317
 7.260000 -2.571704 2.426270 4.025407
 7.280000 -2.580941 2.387530 3.977350
 7.300000 -2.547424 2.487792 4.150434
 7.320000 -2.371315 2.539833 4.970805
 7.340000 -2.210271 2.582594 5.517420
 7.360000 -2.056702 2.616069 5.799447
 7.380000 -1.828710 2.791827 5.761651
 7.400000 -1.868069 2.863727 5.805355
 7.420000 -1.610086 2.869377 5.278721
 7.440000 -1.609804 2.651319 5.277868
 7.460000 -1.576775 2.827012 5.174508
 7.480000 -1.544302 2.925607 5.066458
 7.500000 -1.400753 2.797090 4.524111
 7.520000 -1.312580 2.742828 4.150632
 7.540000 -1.241226 2.712898 3.833532
 7.560000 -1.383567 2.799129 4.453291
 7.580000 -1.422326 2.734342 4.611454
 7.600000 -1.252696 2.577456 3.885177
 7.620000 -1.190838 2.514319 3.604459
 7.640000 -1.134874 2.409108 3.347406
 7.660000 -1.117146 2.364952 3.265757
 7.680000 -1.125138 2.230997 3.302568
 7.700000 -1.250141 2.244425 3.873693
 7.720000 -1.243043 2.151996 3.841727
 7.740000 -1.470324 2.039938 4.798919
 7.760000 -1.427843 2.021745 4.633496
 7.780000 -1.339238 1.716027 4.266042
 7.800000 -1.382359 1.818168 4.448275
 7.820000 -1.418100 1.663082 4.594487
 7.840000 -1.399320 1.425088 4.518248
 7.860000 -1.487199 1.317167 4.862370
 7.880000 -1.329350 1.193277 4.223461
 7.900000 -1.269642 1.019457 3.961054
 7.920000 -1.344013 0.948533 4.286508
 7.940000 -1.253190 0.756189 3.887396
 7.960000 -1.283239 0.835106 4.021530
 7.980000 -1.224209 0.644457 3.756537
 8.000000 -1.403751 0.585494 4.536358
 8.020000 -1.633528 0.486432 6.246276
 8.040000 -1.619780 0.423419 6.215374
 8.060000 -1.475093 0.374613 5.789205
 8.080000 -1.602397 0.272270 6.173820
 8.100000 -1.371879 0.182078 5.383327
 8.120000 -1.395183 0.174241 5.481599
 8.140000 -1.416731 0.072870 5.569144
 8.160000 -1.285956 0.051174 4.991777
 8.180000 -1.330578 0.084349 5.200562
 8.200000 -1.190068 0.017142 4.510105
 8.220000 -0.935490 0.072109 3.125862
 8.240000 -0.860038 0.037651 2.722273
 8.260000 -1.221612 0.141520 4.672869
 8.280000 -1.112233 0.030970 4.095085
 8.300000 -1.386850 0.188750 5.446875
 8.320000 -1.354283 0.140249 5.306763
 8.340000 -1.435919 0.338671 5.644302
 8.360000 -1.534774 0.337414 5.986619
 8.380000 -1.394288 0.477808 5.477892
 8.400000 -1.443074 0.608580 5.671635
 8.420000 -1.661805 0.750589 6.304313
 8.440000 -1.625508 0.708826 6.228462
 8.460000 -1.562031 0.884949 6.066875
 8.480000 -1.239087 0.928868 4.761342
 8.500000 -1.307505 1.087860 5.093990
 8.520000 -1.262587 1.066722 4.878195
 8.540000 -1.275287 1.092283 4.940259
 8.560000 -1.245267 1.192065 4.792316
 8.580000 -1.273070 1.347189 4.929483
 8.600000 -1.455725 1.363414 5.719023
 8.620000 -1.410291 1.489505 5.543320
 8.640000 -1.509287 1.623424 5.905881
 8.660000 -1.334518 1.605019 5.218448
 8.680000 -1.324491 1.497227 5.172743
 8.700000 -1.367757 1.421181 5.365568
 8.720000 -1.252382 1.453138 4.827760
 8.740000 -1.198476 1.451483 4.553851
 8.760000 -1.029552 1.465561 3.641986
 8.780000 -1.076085 1.399721 3.897883
 8.800000 -1.378192 1.450442 5.410305
 8.820000 -1.419779 1.455618 5.581261
 8.840000 -1.432964 1.403126 5.632903
 8.860000 -1.376175 1.449299 5.401716
 8.880000 -1.386501 1.360418 5.445413
 8.900000 -1.347183 1.219552 5.275313
 8.920000 -1.287350 1.279486 4.998464
 8.940000 -1.194263 0.971170 4.531965
 8.960000 -1.195626 1.135548 4.539056
 8.980000 -1.390383 1.078898 5.461656
 9.000000 -1.404788 1.112639 5.521024
 9.020000 -1.332857 1.079098 6.141288
 9.040000 -1.432472 1.160988 6.568171
 9.060000 -1.306416 1.003936 6.012361
 9.080000 -1.390324 0.959737 6.399447
 9.100000 -1.209325 0.849509 5.490858
 9.120000 -1.238110 0.875277 5.652672
 9.140000 -1.205436 0.789150 5.468577
 9.160000 -1.403951 0.900018 6.455977
 9.180000 -1.414439 0.769558 6.498209
 9.200000 -1.453337 0.877138 6.644879
 9.220000 -1.509327 0.857607 6.827581
 9.240000 -1.443388 0.808627 6.608876
 9.260000 -1.290173 0.728310 5.930183
 9.280000 -1.284511 0.812568 5.901024
 9.300000 -1.090562 0.770138 4.774161
 9.320000 -1.353775 0.805347 6.238852
 9.340000 -1.327575 0.782096 6.116024
 9.360000 -1.382579 0.827548 6.366495
 9.380000 -1.435127 0.876179 6.578186
 9.400000 -1.325540 0.917205 6.106224
 9.420000 -1.501834 0.869314 6.805125
 9.440000 -1.462591 0.982020 6.677425
 9.460000 -1.462151 1.033060 6.675896
 9.480000 -1.485017 0.986386 6.752463
 9.500000 -1.626874 1.062607 7.096439
 9.520000 -1.599297 0.972318 7.047601
 9.540000 -1.375399 1.122682 6.335424
 9.560000 -1.093695 0.951516 4.793851
 9.580000 -1.125203 1.117322 4.989920
 9.600000 -1.082010 0.943114 4.720258
 9.620000 -1.267559 1.151867 5.812189
 9.640000 -1.060471 1.111498 4.583569
 9.660000 -1.365654 1.221894 6.292450
 9.680000 -1.261287 1.291318 5.778756
 9.700000 -1.426702 1.316292 6.546151
 9.720000 -1.491258 1.285357 6.772369
 9.740000 -1.252562 1.345061 5.731752
 9.760000 -1.387670 1.248836 6.388221
 9.780000 -1.439243 1.407794 6.593565
 9.800000 -1.502249 1.289519 6.806386
 9.820000 -1.521557 1.451446 6.862882
 9.840000 -1.453566 1.401986 6.645695
 9.860000 -1.474650 1.283256 6.718453
 9.880000 -1.423282 1.314782 6.532939
 9.900000 -1.396227 1.136263 6.424167
 9.920000 -1.127783 1.104427 5.005806
 9.940000 -1.173767 1.136938 5.283741
 9.960000 -1.162783 0.996954 5.218304
 9.980000 -1.201795 1.037950 5.447631
 10.000000 -1.425986 0.903653 6.543396
 10.020000 -1.434672 0.972582 7.472948
 10.040000 -1.512819 1.006767 7.723319
 10.060000 -1.569241 0.868590 7.851046
 10.080000 -1.453723 0.989641 7.541697
 10.100000 -1.411607 0.728986 7.383201
 10.120000 -1.551130 0.950836 7.814940
 10.140000 -1.443628 0.701827 7.505877
 10.160000 -1.385235 0.847118 7.271991
 10.180000 -1.264952 0.778056 6.657295
 10.200000 -1.359398 0.872109 7.154422
 10.220000 -1.202238 0.798033 6.275571
 10.240000 -1.390070 0.866550 7.293055
 10.260000 -1.238967 0.824562 6.503621
 10.280000 -1.444312 0.973954 7.508348
 10.300000 -1.539748 0.859108 7.789883
 10.320000 -1.511266 1.035232 7.719167
 10.340000 -1.496954 0.959394 7.679319
 10.360000 -1.432681 1.064827 7.465482
 10.380000 -1.376708 1.067113 7.234117
 10.400000 -1.357848 0.973045 7.147104
 10.420000 -1.291827 1.106655 6.808963
 10.440000 -1.180765 1.098812 6.136850
 10.460000 -1.045961 1.120964 5.197048
 10.480000 -1.202608 1.217097 6.277931
 10.500000 -1.191983 1.248269 6.209790
 10.520000 -1.268923 1.364338 6.680182
 10.540000 -1.430500 1.394654 7.457239
 10.560000 -1.283563 1.367350 6.763142
 10.580000 -1.532548 1.461427 7.773088
 10.600000 -1.493274 1.447972 7.668611
 10.620000 -1.423537 1.530163 7.430508
 10.640000 -1.482071 1.395213 7.634850
 10.660000 -1.479732 1.587410 7.627582
 10.680000 -1.553757 1.417936 7.820464
 10.700000 -1.649080 1.492297 7.955123
 10.720000 -1.592896 1.461544 7.891239
 10.740000 -1.467924 1.448634 7.589737
 10.760000 -1.425227 1.358798 7.437055
 10.780000 -1.352647 1.307550 7.122340
 10.800000 -1.199259 1.108470 6.256555
 10.820000 -1.266154 1.108520 6.664239
 10.840000 -1.110592 1.009908 5.660115
 10.860000 -1.089664 0.939194 5.512209
 10.880000 -1.223326 0.956090 6.407994
 10.900000 -1.195343 0.888816 6.231440
 10.920000 -1.387454 0.933114 7.281697
 10.940000 -1.401303 0.864931 7.340826
 10.960000 -1.440373 0.723947 7.494033
 10.980000 -1.654417 0.752229 7.958894
 11.000000 -1.378893 0.662811 7.243908
 11.020000 -1.328400 0.630206 7.867955
 11.040000 -1.339780 0.697085 7.926495
 11.060000 -1.373281 0.591083 8.087626
 11.080000 -1.504419 0.739433 8.547164
 11.100000 -1.429699 0.679039 8.319540
 11.120000 -1.431368 0.781073 8.325621
 11.140000 -1.290077 0.774709 7.657107
 11.160000 -1.424593 0.891941 8.300650
 11.180000 -1.081184 0.846706 6.202289
 11.200000 -1.180375 0.938273 6.948529
 11.220000 -1.177189 0.875782 6.925909
 11.240000 -1.358121 1.144064 8.016812
 11.260000 -1.389131 1.004398 8.157878
 11.280000 -1.384529 1.356892 8.137884
 11.300000 -1.335118 1.356624 7.902745
 11.320000 -1.539389 1.447840 8.621878
 11.340000 -1.400574 1.434682 8.206146
 11.360000 -1.328735 1.424000 7.869701
 11.380000 -1.307345 1.493940 7.754688
 11.400000 -1.181006 1.494391 6.953002
 11.420000 -1.227510 1.571391 7.270531
 11.440000 -1.208323 1.574439 7.142420
 11.460000 -1.248950 1.591377 7.408566
 11.480000 -1.227598 1.561447 7.271114
 11.500000 -1.459526 1.659876 8.421405
 11.520000 -1.274329 1.518184 7.564553
 11.540000 -1.366108 1.671314 8.054559
 11.560000 -1.342208 1.519731 7.938742
 11.580000 -1.311203 1.538718 7.775916
 11.600000 -1.352325 1.297176 7.988817
 11.620000 -1.333302 1.282323 7.893401
 11.640000 -1.236823 1.242938 7.331173
 11.660000 -1.258226 1.081922 7.466532
 11.680000 -1.324131 1.029311 7.845503
 11.700000 -1.406636 1.092115 8.230873
 11.720000 -1.474185 0.922493 8.466132
 11.740000 -1.509140 0.924290 8.558444
 11.760000 -1.402678 0.763919 8.214794
 11.780000 -1.264405 0.592209 7.504544
 11.800000 -1.250618 0.567067 7.419067
 11.820000 -1.080177 0.416555 6.194329
 11.840000 -1.157562 0.378380 6.784351
 11.860000 -1.194248 0.364142 7.045818
 11.880000 -1.432984 0.387219 8.331468
 11.900000 -1.374636 0.383501 8.093788
 11.920000 -1.296241 0.395462 7.692419
 11.940000 -1.337242 0.340996 7.913606
 11.960000 -1.449327 0.438925 8.388206
 11.980000 -1.433707 0.274707 8.334071
 12.000000 -1.580058 0.458045 8.683215
 12.020000 -1.673124 0.350811 9.525654
 12.040000 -1.781604 0.565132 9.361326
 12.060000 -1.629631 0.464389 9.533068
 12.080000 -1.467692 0.556226 9.244992
 12.100000 -1.506031 0.573264 9.358781
 12.120000 -1.482258 0.733206 9.291536
 12.140000 -1.070071 0.650372 6.644421
 12.160000 -0.886983 0.735279 4.972855
 12.180000 -1.063896 0.836747 6.589622
 12.200000 -0.954734 0.844197 5.595816
 12.220000 -1.140332 0.968352 7.249230
 12.240000 -1.454996 1.061722 9.201138
 12.260000 -1.450728 1.190985 9.185710
 12.280000 -1.591233 1.231938 9.510198
 12.300000 -1.619683 1.342243 9.529821
 12.320000 -1.539459 1.269518 9.434862
 12.340000 -1.569445 1.271610 9.484754
 12.360000 -1.639940 1.399542 9.534472
 12.380000 -1.488516 1.374842 9.310291
 12.400000 -1.495978 1.358584 9.331672
 12.420000 -1.584910 1.525584 9.503748
 12.440000 -1.467832 1.456732 9.245459
 12.460000 -1.470576 1.397376 9.254528
